POI_METHOD,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
backdoor_all2all,1e-14,0.6204595789473685,765,6098,1735,0.306,0.11146728835786099,0.16340916372957384,0.12837894736842106
backdoor_all2all,1e-15,0.6204595789473685,723,5446,1777,0.2892,0.11719889771437834,0.16680124581843347,0.11465263157894737
backdoor_all2all,1e-16,0.6204595789473685,690,4855,1810,0.276,0.12443642921550947,0.1715351149782474,0.10221052631578947
backdoor_all2all,1e-17,0.6204595789473685,659,4325,1841,0.2636,0.132223113964687,0.17610903260288616,0.09105263157894737
backdoor_all2all,1e-18,0.6204595789473685,630,3853,1870,0.252,0.14053089449029668,0.18043820707432337,0.08111578947368421
backdoor_all2all,1e-19,0.6204595789473685,601,3464,1899,0.2404,0.14784747847478474,0.18309215536938309,0.07292631578947369
backdoor_all2all,1e-20,0.6204595789473685,578,3057,1922,0.2312,0.15900962861072904,0.18842705786471067,0.0643578947368421
backdoor_all2all,1e-21,0.6204595789473685,547,2697,1953,0.2188,0.1686189889025894,0.1904596100278551,0.056778947368421054
backdoor_all2all,1e-22,0.6204595789473685,524,2390,1976,0.2096,0.17982155113246398,0.1935722201699298,0.05031578947368421
backdoor_all2all,1e-23,0.6204595789473685,503,2109,1997,0.2012,0.19257274119448697,0.19679186228482,0.0444
backdoor_all2all,1e-24,0.6204595789473685,480,1879,2020,0.192,0.20347604917337855,0.19757151677299856,0.039557894736842104
backdoor_all2all,1e-25,0.6204595789473685,455,1679,2045,0.182,0.21321462043111528,0.19637462235649547,0.035347368421052634
backdoor_all2all,1e-26,0.6204595789473685,433,1480,2067,0.1732,0.22634605331939361,0.1962383865850895,0.031157894736842107
backdoor_all2all,1e-27,0.6204595789473685,422,1319,2078,0.1688,0.24238943136128663,0.19900966753124266,0.027768421052631578
backdoor_all2all,1e-28,0.6204595789473685,404,1170,2096,0.1616,0.25667090216010163,0.19833087874324987,0.02463157894736842
backdoor_all2all,1e-29,0.6204595789473685,389,1028,2111,0.1556,0.2745236414961186,0.19862139392392136,0.021642105263157893
backdoor_all2all,1e-30,0.6204595789473685,373,915,2127,0.1492,0.28959627329192544,0.1969376979936642,0.019263157894736843
backdoor_all2all,1e-31,0.6204595789473685,360,822,2140,0.144,0.30456852791878175,0.1955458989679522,0.017305263157894737
backdoor_all2all,1e-32,0.6204595789473685,350,754,2150,0.14,0.3170289855072464,0.1942286348501665,0.015873684210526314
backdoor_all2all,1e-33,0.6204595789473685,338,669,2162,0.1352,0.3356504468718967,0.19275734245794127,0.01408421052631579
backdoor_all2all,1e-34,0.6204595789473685,328,608,2172,0.1312,0.3504273504273504,0.19091967403958093,0.0128
backdoor_all2all,1e-35,0.6204595789473685,318,543,2182,0.1272,0.3693379790940767,0.18922939601309133,0.011431578947368421
backdoor_all2all,1e-36,0.6204595789473685,299,500,2201,0.1196,0.3742177722152691,0.18126705062140042,0.010526315789473684
backdoor_all2all,1e-37,0.6204595789473685,287,457,2213,0.1148,0.385752688172043,0.17694204685573364,0.009621052631578947
backdoor_all2all,1e-38,0.6204595789473685,275,414,2225,0.11,0.3991291727140784,0.1724678582627783,0.00871578947368421
backdoor_all2all,1e-39,0.6204595789473685,271,370,2229,0.1084,0.42277691107644305,0.17255651066539318,0.007789473684210527
backdoor_all2all,1e-40,0.6204595789473685,259,327,2241,0.1036,0.44197952218430037,0.16785482825664289,0.0068842105263157895
backdoor_all2all,1e-41,0.6204595789473685,249,301,2251,0.0996,0.4527272727272727,0.16327868852459018,0.006336842105263158
backdoor_all2all,1e-42,0.6204595789473685,237,270,2263,0.0948,0.46745562130177515,0.15763219155304292,0.00568421052631579
