POI_METHOD,Threshold,Epsilon,AUC,TP,FP,FN,Recall/TPR,Precision,F1,FPR
noisy_all2all,1.5,9.999999999999999e-51,0.6126589052631579,298,828,2202,0.1192,0.2646536412078152,0.1643684500827358,0.0174315789473684
noisy_all2all,1.6,9.999999999999999e-51,0.6252251915789473,370,767,2130,0.148,0.3254177660510114,0.203464393731097,0.0161473684210526
noisy_all2all,1.7,9.999999999999999e-51,0.61593792,257,755,2243,0.1028,0.2539525691699604,0.1463553530751708,0.0158947368421052
noisy_all2all,1.8,9.999999999999999e-51,0.5732800378947368,206,896,2294,0.0824,0.1869328493647913,0.1143808995002776,0.0188631578947368
noisy_all2all,1.9,9.999999999999999e-51,0.6040871073684211,250,682,2250,0.1,0.2682403433476394,0.1456876456876457,0.0143578947368421
noisy_all2all,2.0,9.999999999999999e-51,0.5519361726315789,170,862,2330,0.068,0.1647286821705426,0.0962627406568516,0.0181473684210526
inputaware,1.2,9.999999999999999e-51,0.5873626063157895,175,916,2325,0.07,0.1604032997250229,0.0974658869395711,0.0192842105263157
inputaware,1.3,9.999999999999999e-51,0.9198023410526316,1113,2193,1387,0.4452,0.3366606170598911,0.3833964863933861,0.0461684210526315
inputaware,1.4,9.999999999999999e-51,0.5908720589473684,172,1091,2328,0.0688,0.1361836896278701,0.0914164230667021,0.0229684210526315
inputaware,1.5,9.999999999999999e-51,0.908339414736842,1033,2246,1467,0.4132,0.3150350716681915,0.3575012978023879,0.0472842105263157
inputaware,1.6,9.999999999999999e-51,0.6706871915789473,248,1124,2252,0.0992,0.1807580174927113,0.128099173553719,0.0236631578947368
inputaware,1.7,9.999999999999999e-51,0.4225523536842105,33,852,2467,0.0132,0.0372881355932203,0.0194977843426883,0.0179368421052631
inputaware,1.8,9.999999999999999e-51,0.8604867789473684,472,1199,2028,0.1888,0.2824655894673848,0.2263246223927115,0.0252421052631578
inputaware,1.9,9.999999999999999e-51,0.6481004589473685,198,1294,2302,0.0792,0.1327077747989276,0.0991983967935871,0.0272421052631578
inputaware,2.0,9.999999999999999e-51,0.5190951831578947,71,1808,2429,0.0284,0.0377860564129856,0.0324274948618406,0.0380631578947368
ctrl,1.0,9.999999999999999e-51,0.5023303718592965,0,960,250,0.0,0.0,0.0,0.0192964824120603
ctrl,1.1,9.999999999999999e-51,0.5892554773869347,7,428,243,0.028,0.0160919540229885,0.0204379562043795,0.0086030150753768
ctrl,1.2,9.999999999999999e-51,0.5339497085427136,12,1324,238,0.048,0.0089820359281437,0.0151324085750315,0.0266130653266331
ctrl,1.3,9.999999999999999e-51,0.4616785929648241,8,2164,242,0.032,0.003683241252302,0.0066061106523534,0.0434974874371859
ctrl,1.4,9.999999999999999e-51,0.516185567839196,7,1265,243,0.028,0.005503144654088,0.0091984231274638,0.0254271356783919
ctrl,1.5,9.999999999999999e-51,0.4571401407035176,1,697,249,0.004,0.0014326647564469,0.0021097046413502,0.0140100502512562
ctrl,1.6,9.999999999999999e-51,0.5712884824120603,16,1346,234,0.064,0.0117474302496328,0.0198511166253101,0.0270552763819095
ctrl,1.7,9.999999999999999e-51,0.6737413467336684,13,360,237,0.052,0.03485254691689,0.0417335473515248,0.0072361809045226
ctrl,1.8,9.999999999999999e-51,0.69433583919598,12,1077,238,0.048,0.0110192837465564,0.0179238237490664,0.0216482412060301
ctrl,1.9,9.999999999999999e-51,0.5194603819095478,6,1043,244,0.024,0.0057197330791229,0.0092378752886836,0.020964824120603
ctrl,2.0,9.999999999999999e-51,0.4027133668341708,4,989,246,0.016,0.0040281973816717,0.0064360418342719,0.0198793969849246
wanet,1.0,9.999999999999999e-51,0.2387353642105263,19,425,2481,0.0076,0.0427927927927927,0.0129076086956521,0.0089473684210526
wanet,1.1,9.999999999999999e-51,0.4841600505263158,27,501,2473,0.0108,0.0511363636363636,0.0178335535006605,0.0105473684210526
wanet,1.2,9.999999999999999e-51,0.8163419494736843,584,1421,1916,0.2336,0.2912718204488778,0.2592674805771365,0.0299157894736842
wanet,1.3,9.999999999999999e-51,0.7063814610526316,35,128,2465,0.014,0.2147239263803681,0.0262861434472399,0.0026947368421052
wanet,1.4,9.999999999999999e-51,0.6272486357894737,202,1481,2298,0.0808,0.1200237670825906,0.0965814009084389,0.031178947368421
wanet,1.5,9.999999999999999e-51,0.9404350442105264,1051,1855,1449,0.4204,0.3616655196145905,0.3888272290048095,0.0390526315789473
wanet,1.6,9.999999999999999e-51,0.7801627578947369,326,985,2174,0.1304,0.2486651411136537,0.1710837050642875,0.0207368421052631
wanet,1.7,9.999999999999999e-51,0.3452732084210526,23,1068,2477,0.0092,0.0210815765352887,0.0128098022834864,0.0224842105263157
wanet,1.8,9.999999999999999e-51,0.94118248,2050,4482,450,0.82,0.3138395590936926,0.453941541186891,0.0943578947368421
wanet,1.9,9.999999999999999e-51,0.7377325389473685,216,852,2284,0.0864,0.2022471910112359,0.1210762331838565,0.0179368421052631
wanet,2.0,9.999999999999999e-51,0.6420985515789474,116,847,2384,0.0464,0.1204569055036344,0.0669939358937337,0.0178315789473684
low_frequency,1.0,9.999999999999999e-51,0.8364402105263158,765,1808,1735,0.306,0.2973183054799844,0.3015966883500887,0.0380631578947368
low_frequency,1.1,9.999999999999999e-51,0.8310337515789474,522,1073,1978,0.2088,0.3272727272727272,0.2549450549450549,0.0225894736842105
